"Step","ancient-yogurt-6 - mean meta-episode return","ancient-yogurt-6 - mean meta-episode return__MIN","ancient-yogurt-6 - mean meta-episode return__MAX"
"0","-1.35","-1.35","-1.35"
"1","-1.45","-1.45","-1.45"
"2","-1.3458333333333334","-1.3458333333333334","-1.3458333333333334"
"3","-1.359375","-1.359375","-1.359375"
"4","-1.3275","-1.3275","-1.3275"
"5","-1.35","-1.35","-1.35"
"6","-1.3464285714285715","-1.3464285714285715","-1.3464285714285715"
"7","-1.3125","-1.3125","-1.3125"
"8","-1.2875","-1.2875","-1.2875"
"9","-1.24625","-1.24625","-1.24625"
"10","-1.2454545454545454","-1.2454545454545454","-1.2454545454545454"
"11","-1.2239583333333333","-1.2239583333333333","-1.2239583333333333"
"12","-1.187","-1.187","-1.187"
"13","-1.149","-1.149","-1.149"
"14","-1.14","-1.14","-1.14"
"15","-1.108","-1.108","-1.108"
"16","-1.074","-1.074","-1.074"
"17","-1.048","-1.048","-1.048"
"18","-1.006","-1.006","-1.006"
"19","-0.974","-0.974","-0.974"
"20","-0.961","-0.961","-0.961"
"21","-0.966","-0.966","-0.966"
"22","-0.928","-0.928","-0.928"
"23","-0.917","-0.917","-0.917"
"24","-0.904","-0.904","-0.904"
"25","-0.899","-0.899","-0.899"
"26","-0.872","-0.872","-0.872"
"27","-0.833","-0.833","-0.833"
"28","-0.824","-0.824","-0.824"
"29","-0.803","-0.803","-0.803"
"30","-0.788","-0.788","-0.788"
"31","-0.783","-0.783","-0.783"
"32","-0.758","-0.758","-0.758"
"33","-0.749","-0.749","-0.749"
"34","-0.719","-0.719","-0.719"
"35","-0.725","-0.725","-0.725"
"36","-0.722","-0.722","-0.722"
"37","-0.715","-0.715","-0.715"
"38","-0.7","-0.7","-0.7"
"39","-0.705","-0.705","-0.705"
"40","-0.7","-0.7","-0.7"
"41","-0.705","-0.705","-0.705"
"42","-0.678","-0.678","-0.678"
"43","-0.699","-0.699","-0.699"
"44","-0.697","-0.697","-0.697"
"45","-0.694","-0.694","-0.694"
"46","-0.7","-0.7","-0.7"
"47","-0.704","-0.704","-0.704"
"48","-0.73","-0.73","-0.73"
"49","-0.718","-0.718","-0.718"
"50","-0.723","-0.723","-0.723"
"51","-0.722","-0.722","-0.722"
"52","-0.717","-0.717","-0.717"
"53","-0.705","-0.705","-0.705"
"54","-0.728","-0.728","-0.728"
"55","-0.725","-0.725","-0.725"
"56","-0.733","-0.733","-0.733"
"57","-0.716","-0.716","-0.716"
"58","-0.716","-0.716","-0.716"
"59","-0.685","-0.685","-0.685"
"60","-0.663","-0.663","-0.663"
"61","-0.641","-0.641","-0.641"
"62","-0.643","-0.643","-0.643"
"63","-0.652","-0.652","-0.652"
"64","-0.665","-0.665","-0.665"
"65","-0.662","-0.662","-0.662"
"66","-0.641","-0.641","-0.641"
"67","-0.638","-0.638","-0.638"
"68","-0.618","-0.618","-0.618"
"69","-0.612","-0.612","-0.612"
"70","-0.608","-0.608","-0.608"
"71","-0.62","-0.62","-0.62"
"72","-0.632","-0.632","-0.632"
"73","-0.644","-0.644","-0.644"
"74","-0.642","-0.642","-0.642"
"75","-0.637","-0.637","-0.637"
"76","-0.605","-0.605","-0.605"
"77","-0.593","-0.593","-0.593"
"78","-0.59","-0.59","-0.59"
"79","-0.574","-0.574","-0.574"
"80","-0.583","-0.583","-0.583"
"81","-0.604","-0.604","-0.604"
"82","-0.585","-0.585","-0.585"
"83","-0.577","-0.577","-0.577"
"84","-0.568","-0.568","-0.568"
"85","-0.575","-0.575","-0.575"
"86","-0.558","-0.558","-0.558"
"87","-0.565","-0.565","-0.565"
"88","-0.555","-0.555","-0.555"
"89","-0.551","-0.551","-0.551"
"90","-0.549","-0.549","-0.549"
"91","-0.561","-0.561","-0.561"
"92","-0.573","-0.573","-0.573"
"93","-0.549","-0.549","-0.549"
"94","-0.538","-0.538","-0.538"
"95","-0.559","-0.559","-0.559"
"96","-0.571","-0.571","-0.571"
"97","-0.566","-0.566","-0.566"
"98","-0.565","-0.565","-0.565"
"99","-0.561","-0.561","-0.561"
"100","-0.561","-0.561","-0.561"
"101","-0.573","-0.573","-0.573"
"102","-0.58","-0.58","-0.58"
"103","-0.57","-0.57","-0.57"
"104","-0.56","-0.56","-0.56"
"105","-0.566","-0.566","-0.566"
"106","-0.557","-0.557","-0.557"
"107","-0.548","-0.548","-0.548"
"108","-0.534","-0.534","-0.534"
"109","-0.517","-0.517","-0.517"
"110","-0.528","-0.528","-0.528"
"111","-0.517","-0.517","-0.517"
"112","-0.546","-0.546","-0.546"
"113","-0.551","-0.551","-0.551"
"114","-0.555","-0.555","-0.555"
"115","-0.569","-0.569","-0.569"
"116","-0.582","-0.582","-0.582"
"117","-0.601","-0.601","-0.601"
"118","-0.588","-0.588","-0.588"
"119","-0.614","-0.614","-0.614"
"120","-0.624","-0.624","-0.624"
"121","-0.625","-0.625","-0.625"
"122","-0.623","-0.623","-0.623"
"123","-0.613","-0.613","-0.613"
"124","-0.608","-0.608","-0.608"
"125","-0.614","-0.614","-0.614"
"126","-0.603","-0.603","-0.603"
"127","-0.591","-0.591","-0.591"
"128","-0.606","-0.606","-0.606"
"129","-0.589","-0.589","-0.589"
"130","-0.592","-0.592","-0.592"
"131","-0.592","-0.592","-0.592"
"132","-0.574","-0.574","-0.574"
"133","-0.574","-0.574","-0.574"
"134","-0.596","-0.596","-0.596"
"135","-0.614","-0.614","-0.614"
"136","-0.623","-0.623","-0.623"
"137","-0.614","-0.614","-0.614"
"138","-0.592","-0.592","-0.592"
"139","-0.581","-0.581","-0.581"
"140","-0.58","-0.58","-0.58"
"141","-0.564","-0.564","-0.564"
"142","-0.569","-0.569","-0.569"
"143","-0.577","-0.577","-0.577"
"144","-0.571","-0.571","-0.571"
"145","-0.56","-0.56","-0.56"
"146","-0.548","-0.548","-0.548"
"147","-0.535","-0.535","-0.535"
"148","-0.546","-0.546","-0.546"
"149","-0.548","-0.548","-0.548"
"150","-0.558","-0.558","-0.558"
"151","-0.578","-0.578","-0.578"
"152","-0.568","-0.568","-0.568"
"153","-0.582","-0.582","-0.582"
"154","-0.601","-0.601","-0.601"
"155","-0.59","-0.59","-0.59"
"156","-0.577","-0.577","-0.577"
"157","-0.564","-0.564","-0.564"
"158","-0.573","-0.573","-0.573"
"159","-0.583","-0.583","-0.583"
"160","-0.56","-0.56","-0.56"
"161","-0.556","-0.556","-0.556"
"162","-0.562","-0.562","-0.562"
"163","-0.561","-0.561","-0.561"
"164","-0.595","-0.595","-0.595"
"165","-0.61","-0.61","-0.61"
"166","-0.595","-0.595","-0.595"
"167","-0.573","-0.573","-0.573"
"168","-0.596","-0.596","-0.596"
"169","-0.602","-0.602","-0.602"
"170","-0.613","-0.613","-0.613"
"171","-0.631","-0.631","-0.631"
"172","-0.627","-0.627","-0.627"
"173","-0.625","-0.625","-0.625"
"174","-0.617","-0.617","-0.617"
"175","-0.606","-0.606","-0.606"
"176","-0.6","-0.6","-0.6"
"177","-0.604","-0.604","-0.604"
"178","-0.594","-0.594","-0.594"
"179","-0.607","-0.607","-0.607"
"180","-0.612","-0.612","-0.612"
"181","-0.62","-0.62","-0.62"
"182","-0.615","-0.615","-0.615"
"183","-0.613","-0.613","-0.613"
"184","-0.608","-0.608","-0.608"
"185","-0.606","-0.606","-0.606"
"186","-0.614","-0.614","-0.614"
"187","-0.626","-0.626","-0.626"
"188","-0.625","-0.625","-0.625"
"189","-0.612","-0.612","-0.612"
"190","-0.607","-0.607","-0.607"
"191","-0.614","-0.614","-0.614"
"192","-0.605","-0.605","-0.605"
"193","-0.599","-0.599","-0.599"
"194","-0.592","-0.592","-0.592"
"195","-0.582","-0.582","-0.582"
"196","-0.567","-0.567","-0.567"
"197","-0.561","-0.561","-0.561"
"198","-0.559","-0.559","-0.559"
"199","-0.567","-0.567","-0.567"
"200","-0.544","-0.544","-0.544"
"201","-0.54","-0.54","-0.54"
"202","-0.534","-0.534","-0.534"
"203","-0.539","-0.539","-0.539"
"204","-0.533","-0.533","-0.533"
"205","-0.524","-0.524","-0.524"
"206","-0.515","-0.515","-0.515"
"207","-0.534","-0.534","-0.534"
"208","-0.545","-0.545","-0.545"
"209","-0.548","-0.548","-0.548"
"210","-0.559","-0.559","-0.559"
"211","-0.545","-0.545","-0.545"
"212","-0.557","-0.557","-0.557"
"213","-0.555","-0.555","-0.555"
"214","-0.557","-0.557","-0.557"
"215","-0.572","-0.572","-0.572"
"216","-0.565","-0.565","-0.565"
"217","-0.591","-0.591","-0.591"
"218","-0.584","-0.584","-0.584"
"219","-0.582","-0.582","-0.582"
"220","-0.569","-0.569","-0.569"
"221","-0.572","-0.572","-0.572"
"222","-0.566","-0.566","-0.566"
"223","-0.574","-0.574","-0.574"
"224","-0.579","-0.579","-0.579"
"225","-0.568","-0.568","-0.568"
"226","-0.572","-0.572","-0.572"
"227","-0.574","-0.574","-0.574"
"228","-0.554","-0.554","-0.554"
"229","-0.537","-0.537","-0.537"
"230","-0.536","-0.536","-0.536"
"231","-0.543","-0.543","-0.543"
"232","-0.53","-0.53","-0.53"
"233","-0.534","-0.534","-0.534"
"234","-0.537","-0.537","-0.537"
"235","-0.517","-0.517","-0.517"
"236","-0.53","-0.53","-0.53"
"237","-0.516","-0.516","-0.516"
"238","-0.507","-0.507","-0.507"
"239","-0.509","-0.509","-0.509"
"240","-0.494","-0.494","-0.494"
"241","-0.516","-0.516","-0.516"
"242","-0.516","-0.516","-0.516"
"243","-0.543","-0.543","-0.543"
"244","-0.553","-0.553","-0.553"
"245","-0.549","-0.549","-0.549"
"246","-0.557","-0.557","-0.557"
"247","-0.557","-0.557","-0.557"
"248","-0.556","-0.556","-0.556"
"249","-0.569","-0.569","-0.569"
"250","-0.577","-0.577","-0.577"
"251","-0.58","-0.58","-0.58"
"252","-0.592","-0.592","-0.592"
"253","-0.586","-0.586","-0.586"
"254","-0.598","-0.598","-0.598"
"255","-0.594","-0.594","-0.594"
"256","-0.572","-0.572","-0.572"
"257","-0.562","-0.562","-0.562"
"258","-0.553","-0.553","-0.553"
"259","-0.568","-0.568","-0.568"
"260","-0.561","-0.561","-0.561"
"261","-0.559","-0.559","-0.559"
"262","-0.566","-0.566","-0.566"
"263","-0.566","-0.566","-0.566"
"264","-0.565","-0.565","-0.565"
"265","-0.564","-0.564","-0.564"
"266","-0.536","-0.536","-0.536"
"267","-0.55","-0.55","-0.55"
"268","-0.544","-0.544","-0.544"
"269","-0.542","-0.542","-0.542"
"270","-0.556","-0.556","-0.556"
"271","-0.565","-0.565","-0.565"
"272","-0.573","-0.573","-0.573"
"273","-0.57","-0.57","-0.57"
"274","-0.565","-0.565","-0.565"
"275","-0.572","-0.572","-0.572"
"276","-0.562","-0.562","-0.562"
"277","-0.561","-0.561","-0.561"
"278","-0.577","-0.577","-0.577"
"279","-0.578","-0.578","-0.578"
"280","-0.569","-0.569","-0.569"
"281","-0.572","-0.572","-0.572"
"282","-0.562","-0.562","-0.562"
"283","-0.542","-0.542","-0.542"
"284","-0.533","-0.533","-0.533"
"285","-0.533","-0.533","-0.533"
"286","-0.524","-0.524","-0.524"
"287","-0.517","-0.517","-0.517"
"288","-0.542","-0.542","-0.542"
"289","-0.529","-0.529","-0.529"
"290","-0.513","-0.513","-0.513"
"291","-0.513","-0.513","-0.513"
"292","-0.517","-0.517","-0.517"
"293","-0.504","-0.504","-0.504"
"294","-0.522","-0.522","-0.522"
"295","-0.518","-0.518","-0.518"
"296","-0.521","-0.521","-0.521"
"297","-0.512","-0.512","-0.512"
"298","-0.51","-0.51","-0.51"
"299","-0.517","-0.517","-0.517"
"300","-0.493","-0.493","-0.493"
"301","-0.476","-0.476","-0.476"
"302","-0.494","-0.494","-0.494"
"303","-0.508","-0.508","-0.508"
"304","-0.497","-0.497","-0.497"
"305","-0.501","-0.501","-0.501"
"306","-0.508","-0.508","-0.508"
"307","-0.511","-0.511","-0.511"
"308","-0.512","-0.512","-0.512"
"309","-0.506","-0.506","-0.506"
"310","-0.511","-0.511","-0.511"
"311","-0.525","-0.525","-0.525"
"312","-0.522","-0.522","-0.522"
"313","-0.527","-0.527","-0.527"
"314","-0.525","-0.525","-0.525"
"315","-0.527","-0.527","-0.527"
"316","-0.526","-0.526","-0.526"
"317","-0.524","-0.524","-0.524"
"318","-0.527","-0.527","-0.527"